login,combined_score,delivery_score,collaboration_score,full_stack_score,shipping_score,review_score,merged_prs,prs_opened_in_window,merge_rate_pct,open_prs_updated,median_cycle_days,commits_on_merged_prs,avg_commits_per_merged_pr,discussion_on_merged_prs,workflow_runs,additions,deletions,changed_files,review_events_on_others_prs,prs_with_close_keyword,linked_issue_refs,prs_touching_tests,test_files_touched,merge_check_runs_total,merge_check_success_pct,merge_check_failures,collab_issue_comments_others_after_open,collab_line_comments_others_after_open,collab_prs_with_teammate_after_open,collab_unique_partners_on_own_prs,collab_requested_reviewers_sum,collab_assignees_non_author_sum,rewarded_skills,revert_merges,draft_merges,max_changed_files_single_pr,open_wip_additions,open_wip_deletions,open_wip_churn,open_wip_files,open_wip_commits,open_wip_discussion,note
feliperalmeida,1.554,14.176,9.968,25.698,1.554,0.0,1,0,,0,18.05,4,4.0,16,0,151,24,10,0,0,0,1,5,204,90.7,0,2,5,1,2,1,0,"testing in diff (1 PRs, 5 test files) · merge CI success ~90.7% (204 checks sampled) · collaboration (1 PRs w/ teammate input after open)",0,0,10,0,0,0,0,0,0,~18.05d median time to merge; high iteration (commits/PR); high green rate on merge CI
ryans-posthog,2.797,17.736,4.918,25.451,2.797,0.0,3,4,75.0,1,0.77,14,4.67,12,0,285,96,14,0,1,1,2,6,624,87.0,14,0,2,1,1,0,0,"issue closure (1 PRs w/ close keywords) · testing in diff (2 PRs, 6 test files) · merge CI success ~87.0% (624 checks sampled) · collaboration (1 PRs w/ teammate input after open)",0,0,8,36,0,36,2,2,3,~0.77d median time to merge; high iteration (commits/PR); active WIP + shipping; tests/e2e in shipped diffs
slshults,3.747,12.873,8.071,24.691,2.747,1.0,3,3,100.0,0,1.14,9,3.0,24,0,169,230,16,1,0,0,1,1,617,89.0,9,0,3,2,2,2,0,"testing in diff (1 PRs, 1 test files) · merge CI success ~89.0% (617 checks sampled) · collaboration (2 PRs w/ teammate input after open)",0,0,11,0,0,0,0,0,0,~1.14d median time to merge
zaniluca,2.47,16.127,5.558,24.155,2.47,0.0,2,3,66.7,2,7.03,27,13.5,24,0,261,17,29,0,1,1,1,15,466,79.2,1,2,0,1,1,0,1,"issue closure (1 PRs w/ close keywords) · testing in diff (1 PRs, 15 test files) · merge CI success ~79.2% (466 checks sampled) · collaboration (1 PRs w/ teammate input after open)",0,0,28,177,16,193,21,44,19,~7.03d median time to merge; high iteration (commits/PR); active WIP + shipping
christiaan-ph,2.937,13.065,7.821,23.823,2.937,0.0,7,9,77.8,2,0.15,32,4.57,44,0,133,23,13,0,0,0,1,1,1379,90.6,22,0,3,2,2,1,0,"testing in diff (1 PRs, 1 test files) · merge CI success ~90.6% (1379 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (2 PRs w/ teammate input after open)",0,0,3,135,30,165,7,7,14,~0.15d median time to merge; high iteration (commits/PR); active WIP + shipping; high green rate on merge CI
meikelmosby,5.415,13.555,4.466,23.436,1.415,4.0,2,4,50.0,4,1.45,4,2.0,6,0,168,32,6,4,0,0,1,2,402,91.3,10,1,0,1,1,0,0,"testing in diff (1 PRs, 2 test files) · merge CI success ~91.3% (402 checks sampled) · collaboration (1 PRs w/ teammate input after open)",0,0,5,2981,648,3629,58,7,94,~1.45d median time to merge; active WIP + shipping; high green rate on merge CI
fuziontech,6.501,16.837,0.0,23.338,4.501,2.0,8,10,80.0,0,0.02,19,2.38,32,111,413,89,18,2,0,0,3,4,1657,89.4,10,0,0,0,0,0,0,"testing in diff (3 PRs, 4 test files) · merge CI success ~89.4% (1657 checks sampled) · shipped completed units (merge + closure/tests signal)",0,0,5,0,0,0,0,0,0,~0.02d median time to merge; frequent CI activity; tests/e2e in shipped diffs
xljones,1.563,13.041,8.579,23.183,1.563,0.0,3,4,75.0,2,2.87,29,9.67,35,0,97,9,8,0,0,0,1,1,605,90.4,4,0,6,2,2,0,0,"testing in diff (1 PRs, 1 test files) · merge CI success ~90.4% (605 checks sampled) · collaboration (2 PRs w/ teammate input after open)",0,0,5,125,3,128,5,14,16,~2.87d median time to merge; high iteration (commits/PR); active WIP + shipping; high green rate on merge CI
Daesgar,5.598,11.004,5.713,22.315,4.598,1.0,6,5,120.0,0,0.05,21,3.5,16,0,116,73,20,1,0,0,0,0,1189,91.7,8,1,1,1,1,0,0,merge CI success ~91.7% (1189 checks sampled) · collaboration (1 PRs w/ teammate input after open),1,0,4,0,0,0,0,0,0,~0.05d median time to merge; high green rate on merge CI
matt-metivier,4.531,13.209,4.188,21.928,1.181,3.35,1,18,5.6,3,1.7,12,12.0,7,0,181,9,5,4,0,0,1,1,196,91.8,3,0,1,1,1,0,0,"testing in diff (1 PRs, 1 test files) · merge CI success ~91.8% (196 checks sampled) · collaboration (1 PRs w/ teammate input after open)",0,0,5,15561,1144,16705,114,20,46,~1.7d median time to merge; high iteration (commits/PR); active WIP + shipping; high green rate on merge CI
